"","job","firm","functional_area","type","link"
"120","Consultant- Programme and Change Acceleration","Capgemini Invent","Change Management","Job","https://www.consultancy.uk/jobs/37717/capgemini-invent/consultant-programme-and-change-acceleration"
"121","Identitiy & Access Management Project Manager","ThreeTwoFour","Project Management","Job","https://www.consultancy.uk/jobs/29427/threetwofour/identitiy-access-management-project-manager"
"122","Transactions Tax, Senior Director","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35782/fti-consulting/transactions-tax-senior-director"
"123","Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35722/fti-consulting/consultant-valuations-disputes-and-arbitration-economic-and-financial-consulting"
"124","PH-4808; Platform Engineer - AWS & Terraform","B2E Consulting","Unknown","Job","https://www.consultancy.uk/jobs/29310/b2e-consulting/ph-4808-platform-engineer-aws-terraform"
"125","Associate Director, Research Practice","Yonder Consulting","Strategy","Job","https://www.consultancy.uk/jobs/37402/yonder-consulting/associate-director-research-practice"
"126","Manager/Senior Manager - Energy & Utilities - Programme Management & Project Controls","Capgemini Invent","Management","Job","https://www.consultancy.uk/jobs/39907/capgemini-invent/managersenior-manager-energy-utilities-programme-management-project-controls"
"127","Consultant Business & Technology","Valcon","Process Management","Job","https://www.consultancy.uk/jobs/35966/valcon/consultant-business-technology"
"128","Senior Manager | Operational Excellence | Advisory | Dublin/Cork","PwC","Unknown","Job","https://www.consultancy.uk/jobs/39517/pwc/senior-manager-operational-excellence-advisory-dublincork"
"129","Lead Technical Reviewer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/38584/pa-consulting/lead-technical-reviewer"
"130","PH-4806; Senior Back End Developers","B2E Consulting","Unknown","Job","https://www.consultancy.uk/jobs/29319/b2e-consulting/ph-4806-senior-back-end-developers"
"131","Resource Co-ordinator","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/39038/pa-consulting/resource-co-ordinator"
